1,Chelsea
2,Manchester City
3,Arsenal
4,Manchester United
5,Tottenham Hotspur
6,Liverpool
7,Southampton
8,Swansea City
9,Stoke City
10,Crystal Palace
11,Everton
12,West Ham United
13,West Bromwich Albion
14,Leicester City
15,Newcastle United
16,Sunderland
17,Aston Villa
18,Hull City
19,Burnley
20,Queens Park Rangers
